No,Name,Address,Class,District,Longitude,Latitude,Pop,Envi_Fact
481,RSUD Kab. Jombang,"Jl. KHW Hasyim 52, Jombang",B,Jombang,112.2308157,-7.537539566,0.285598,0.425711
482,RSU Dr. R Koesma Tuban,"Jl. Dr W S Husodo No.800, Tuban",B,Tuban,112.0461687,-6.899584896,1.294333,0
483,RSU Haji Surabaya,Jl. Manyar Kertoadi Surabaya,B,Surabaya,112.7795838,-7.282331835,5.306114,0.161532
484,RSU Dr. R. Sosodoro Djatikoesoemo,"Jl. Dr Wahidin No.40, Bojonegoro",B,Bojonegoro,111.8982827,-7.142940336,1.176794,0.024158
485,RS Islam Surabaya Jemursari,"Jl. Jemursai 51 - 57, Surabaya",B,Surabaya,112.7400004,-7.322717914,5.721375,0.081724
486,RSUD Dr. Harjono S Ponorogo,Jl. Ciptomangunkusumo Ponorogo,B,Ponorogo,111.4685368,-7.854104527,1.175484,0.331897
487,RSUD Dr Iskak Tulungagung,"Jl. Dr. W Sudirohusudo, Tulungagung",B,Tulungagung,111.9076156,-8.060618874,1.791981,0.293724
488,RSUD Ngudi Waluyo Wlingi,Jl. Dr. Sucipto No.5 Wlingi,B,Blitar,112.3155653,-8.08380174,0.519386,0.185383
489,RSU Pare,"Jl. Pahlawan Kusuma Bangsa No.1, Pare",B,Kediri,112.1759821,-7.759758867,1.475434,0.245707
490,RSU Dr. Haryoto Lumajang,"Jl. Basuki Rahmat No.5, Lumajang",B,Lumajang,113.227777,-8.122274864,1.606013,0.369548
491,RSU Dr. Soebandi,"Jl. Dr. Soebandi No.124, Jember",B,Jember,113.7153931,-8.156190787,2.143216,0.387396
492,RSUD Dr. H.Koesnadi,Jl. Piere Tendean Bondowoso,B,Bondowoso,114.3774581,-8.215010789,0.906301,0.468607
493,RSUD Sidoarjo,Jl. Mojopahit No.667 Sidoarjo,B,Sidoarjo,112.7156582,-7.465257538,0.392744,0.047311
494,RSU Prof Dr Soekandar,Jl. Hayam Wuruk 25 Mojosari,B,Mojokerto,112.4350425,-7.4627649,3.131204,0.091796
495,RSUD Nganjuk,"Jl. Dr. Sutomo 62, Nganjuk",B,Nganjuk,111.8723485,-7.661177061,0.795449,0.173373
496,RSUD Syarifah Ambarni Rato Ebuh,Jl. Pemuda Kaffa No. 9 Bangkalan,B,Bangkalan,112.7592682,-7.029260014,0.670659,0.079904
497,RSUD Pamekasan,"Jl. Raya Panglegur No.4, Pamekasan",B,Pamekasan,113.4792792,-7.183371006,0.704287,0.022027
498,RSU Gambiran,Jl. KH Wahid Hasyim 64 Kediri,B,Kota Kediri,112.0049979,-7.815947999,3.409658,0.028103
